Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Utility-Water Main,136-17 72 Avenue,Queens,01/16/2017 01:13:38 PM,,40.71400364,-73.82998933
Structural-Sidewalk Collapse,927 Broadway,Manhattan,10/29/2016 12:13:31 PM,,40.71442154,-74.00607638
Utility-Other,,Manhattan,11/22/2016 08:53:17 AM,,,
Administration-Other,Seagirt Blvd & Beach 9 Street,Queens,11/14/2016 03:53:54 PM,,40.71400364,-73.82998933
Law Enforcement-Other,,Brooklyn,10/29/2016 05:35:28 PM,,,
Utility-Water Main,2-17 54 Avenue,Queens,12/02/2016 16:40,,40.71400364,-73.82998933
Fire-2nd Alarm,238 East 24 Street,Manhattan,11/25/2016 04:06:09 AM,,40.71442154,-74.00607638
Utility-Water Main,7th Avenue & West 27 Street,Manhattan,12/03/2016 4:17,,40.71442154,-74.00607638
Fire-10-76 (Commercial High Rise Fire),130 East 57 Street,Manhattan,11/26/2016 05:45:43 AM,,,
Structural-Crane,,Brooklyn,11/18/2016 01:12:51 PM,,,
Fire-2nd Alarm,24 Charles Street,Manhattan,12/14/2016 10:26:17 PM,,40.71442154,-74.00607638
Fire-3rd Alarm,581 3 ave,new york,11/30/2016 12:25:38 AM,11/30/2016 04:22:22 AM,40.6674897,-73.994286
Structural-Collapse,55 Thompson St,Manhattan,11/28/2016 09:51:55 PM,,40.71442154,-74.00607638
Utility-Other,Hylan Blvd & Arbutus Avenue,Staten Island,11/29/2016 06:49:45 AM,,40.52609318,-74.18029751
Fire-2nd Alarm,53-09 Beach Channel Drive,Far Rockaway,12/18/2016 05:52:37 PM,,40.59508345,-73.78400536
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.71442154,-74.00607638
Fire-2nd Alarm,1747 West 6 Street,Brooklyn,12/15/2016 05:05:32 PM,,40.60467676,-73.97901518
Structural-Crane,,Brooklyn,12/08/2016 21:38,,,
Structural-Crane,225 Park Avenue South,Manhattan,12/09/2016 12:20,,40.71442154,-74.00607638
Utility-Gas Low Pressure,Noble Avenue & Watson Avenue,Bronx,01/30/2017 09:47:09 PM,,40.82730091,-73.86917898
Structural-Crane,,Brooklyn,11/18/2016 01:12:51 PM,,,
Fire-2nd Alarm,,Brooklyn,12/16/2016 04:45:58 AM,,,
Structural-Crane,229 Cherry Street,Manhattan,11/30/2016 04:29:12 PM,,40.71442154,-74.00607638
Administration-Meeting,720 Hunts Point Avenue,Bronx,12/14/2016 02:50:25 PM,,40.81509289,-73.88636923
Utility-Water Main,Watson Avenue  & Colgate Avenue,Bronx,12/17/2016 11:32:26 PM,,40.82565354,-73.88134827
Fire-1st Alarm,126 West 53rd Street,Manhattan,12/25/2016 10:42:56 PM,,40.71442154,-74.00607638
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.71442154,-74.00607638
Fire-3rd Alarm,75 East 21 Street,Brooklyn,06/02/2017 19:50,,40.65296715,-73.96044473
Fire-2nd Alarm,112 Taylor STreet,Staten Island,12/16/2016 04:45:58 AM,,40.63617531,-74.12338634
Transportation-Car,Cross Bronx Expressway & Webster Avenue,Bronx,12/27/2016 06:21:42 AM,,40.84442118,-73.90277739
Administration-Other,188 Street & 75 Avenue,Queens,05/10/2017 13:36,,40.71400364,-73.82998933
Administration-Planned Event,1227 Tinton Avenue,Bronx,06/01/2016 14:29,,40.83008667,-73.90004687
Transportation-Other,,Queens,01/19/2017 04:08:25 AM,,40.74419566,-73.77154424
Fire-2nd Alarm,155-26 115 Avenue,Queens,12/17/2016 09:04:03 AM,,,
Administration-Other,188 Street & 75 Avenue,Queens,05/10/2017 13:36,,40.71400364,-73.82998933
Structural-Street Collapse,Madison Avenue & East 56 Street,Manhattan,01/26/2017 04:52:25 PM,,,
Fire-5th Alarm,,Brooklyn,12/28/2017 07:12:14 PM,,,
Utility-Power Outage,107-10 Shore Front Parkway,Queens,01/21/2017 08:59:38 AM,,40.71400364,-73.82998933
Transportation-Train Subway,West 128th Street & St. Nicholas Avenue,Manhattan,06/27/2017 10:05:40 AM,,40.71442154,-74.00607638
Fire-5th Alarm,60 East 9th Street,Manhattan,06/28/2017 06:04:26 PM,,40.73135779,-73.99245452
Fire-3rd Alarm,75 East 21 Street,Brooklyn,06/02/2017 19:50,,40.65296715,-73.96044473
Utility-Gas Low Pressure,Noble Avenue & Watson Avenue,Bronx,01/30/2017 09:47:09 PM,,40.82730091,-73.86917898
Utility-Gas Low Pressure,Noble Avenue & Watson Avenue,Bronx,01/30/2017 09:47:09 PM,,40.82730091,-73.86917898
Fire-5th Alarm,72-10 Myrtle ave,Queens,06/24/2017 09:30:28 PM,,40.71400364,-73.82998933
Fire-5th Alarm,72-10 Myrtle ave,Queens,06/24/2017 09:30:28 PM,,40.71400364,-73.82998933
Structural-Crane,,Brooklyn,11/18/2016 01:12:51 PM,,,
Utility-Power Outage,107-10 Shore Front Parkway,Queens,01/21/2017 08:59:38 AM,,40.71400364,-73.82998933
Utility-Water Service Line,West 167th Street & Edgecombe Avenue,Manhattan,01/23/2017 03:54:00 AM,,40.71442154,-74.00607638
Fire-3rd Alarm,1170 44 Street,Brooklyn,08/28/2017 04:05:15 AM,,40.63964501,-73.99227763
Utility-Water Main,,Queens,06/21/2017 03:00:54 AM,,,
Fire-4th Alarm,860 Hunts Point Avenue,Bronx,07/04/2017 13:27,,,
Structural-Construction Accident,31-25 28 Road,Queens,06/20/2017 03:57:24 PM,,40.71400364,-73.82998933
Fire-1st Alarm,150-05 Cohancy Street,Queens,11/20/2016 01:03:30 PM,,40.71400364,-73.82998933
Rescue-Technical,81-10 134 Street,Queens,11/22/2016 12:24:02 PM,11/22/2016 06:27:30 PM,40.71400364,-73.82998933
Fire-2nd Alarm,726 East 141 Street,Bronx,06/30/2017 02:01:05 AM,,,
Fire-5th Alarm,60 East 9th Street,Manhattan,06/28/2017 06:04:26 PM,,40.73135779,-73.99245452
Fire-4th Alarm,135-42 Roosevelt Avenue,Queens,01/25/2017 02:20:02 PM,,40.71400364,-73.82998933
Fire-2nd Alarm,447 Wales Avenue,Bronx,07/26/2017 03:06:44 AM,,40.81028097,-73.90820618
Fire-5th Alarm,60 East 9th Street,Manhattan,06/28/2017 06:04:26 PM,,40.73135779,-73.99245452
Law Enforcement-Other,,Brooklyn,07/05/2017 0:59,,,
Fire-3rd Alarm,117 e 179 st,Bronx,07/05/2017 5:23,,40.83721306,-73.87145923
Utility-Water Main,West 81st Street & Central Park West,Manhattan,01/14/2017 12:15:09 AM,,40.71442154,-74.00607638
Utility-Water Service Line,,Bronx,07/11/2017 4:50,,,
Fire-2nd Alarm,2350 Beaumont Avenue,Bronx,01/16/2017 06:24:46 AM,,40.85369537,-73.88465007
